variable,n,mean,standard deviation,min,max
TOT_USD_CAP,44,3471.465386363636,2604.713629031756,326.961,8610.599
OOPEXP_USD_CAP,44,543.0961590909092,288.95717321925247,121.691,1034.4
COMPULSORY_USD_CAP,44,1576.2963181818186,1262.7185241940892,121.618,4210.808
VOLUNTARY_USD_CAP,44,1895.1691363636362,1345.601393156853,205.343,4399.791
unemp,44,6.406060681818182,1.523033703525762,3.991667,9.708333
income,44,21479.02077308086,12404.461408632074,4105.49595053855,43949.712959221004
alc,44,9.145454545454546,0.764987981324052,8.1,10.4
elderly,44,12.01043181818182,1.0074298170395446,9.806,14.124
life_exp,44,75.43409090909091,2.18673097462214,70.9,78.8
life_exp65,44,17.131818181818186,1.1680447390390034,15.05,19.2
CPI,44,193.40071780303032,121.52492866972166,33.958333333333336,425.1325
opioid_crude,15,5.466666666666667,1.6006942938057294,2.9,7.9
aids_crude,35,7.999591428571427,4.910823702435348,0.0,16.18512
